,marketCap
CCEP,25678686208
CCF,1027037760
CCI,79280070656
CCJ,10541515776
CCK,15189627904
CCL,25727569920
CCLP,69078528
CCM,105061880
CCMP,4319030784
CCNC,54233612
CCNE,461962656
CCO,1652623744
CCOI,3828743680
CCRN,1008635328
CCS,2442712320
CCU,3393876224
CCV,616249984
CCVI,680747072
CCXI,2776382976
CCZ,59557335040
CD,3736302848
CDAK,316199904
CDAY,18024966144
CDE,1773351168
CDEV,1976834048
CDK,5071278080
CDLX,2831782912
CDMO,2022550912
CDNA,2462154240
CDNS,50993451008
CDOR,87317224
CDR,316171936
CDTX,78712376
CDW,26906550272
CDXC,415407200
CDXS,2367904256
CDZI,225838304
CE,18947123200
CEA,9998332928
CECE,241399200
CEE,191113872
CEI,61670340
CEIX,851676480
CELC,217148992
CELH,5628431360
CELP,18127012
CEM,425024960
CEMI,40894092
CEN,77350760
CENT,2908508672
CENTA,2858019072
CENX,1311676928
CEPU,1025822144
CEQP,1816243584
CERE,4993843712
CERN,22442090496
CERS,1215321216
CERT,5586793472
CET,1098160640
CETX,22612980
CETXP,10033826
CEV,101082832
CEVA,1104741632
CF,13792241664
CFB,776291072
CFBK,144078560
CFFE,316150304
CFFI,193886272
CFFN,1738595200
CFG,21287981056
CFIV,621649216
CFMS,187950272
CFR,8464869888
CFRX,149461984
CFV,317544512
CFVI,373214016
CFX,7063247360
CFXA,5322916864
CG,20937535488
CGA,95316080
CGAU,2518644480
CGBD,754675328
CGC,5430627840
CGEM,880765824
CGEN,438880096
CGNT,1430081280
CGNX,14703498240
CGO,144382256
CGRN,79815120
CHAA,364121888
CHCI,42704376
CHCO,1272586240
CHCT,1126360832
CHD,22430199808
CHDN,8915954688
CHE,7993862144
CHEF,1251510912
CHEK,64862712
CHGG,4182810624
CHH,8308485120
CHI,1148398080
CHK,6121602560
CHKP,15761402880
CHMG,223161616
CHMI,153838800
CHN,283744448
CHNG,6424487936
CHNR,46292888
CHPM,376406272
CHPT,7892407296
CHRA,133582840
CHRS,1456720512
CHRW,12949139456
CHS,814077248
CHT,31717863424
CHTR,130728550400
CHUY,644506496
CHW,623562304
CHWY,30634301440
CHX,4911665152
CHY,1234269312
CI,75108196352
CIA,320673120
CIB,7935751680
CIDM,308657856
CIEN,9521266688
CIF,58378100
CIG,4519286784
CIGI,6330964480
CIH,127868296
CII,953463488
CIK,182021056
CIM,3812227072
CINF,19658665984
CINR,359292832
CIO,810657856
CIR,654784768
CIT,5043465728
CIVB,394395072
CIX,266749808
CIXX,4808256512
CIZN,103513424
CJJD,25940392
CKPT,312225952
CKX,23485020
CL,66247831552
CLAA,402600000
